District code,District name,School start date,Grades: In person,Grades: Hybrid,Grades: Remote,Percentage of students who are fully remote,Total number of students in the district,Predominant learning model ,Organization type,Alliance District,Reporting period,Update date
0920011,New Hartford School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,12%,419,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0920161,Oak Hill School at Ann Antolini School,07/06/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,10,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0930011,New Haven School District,09/03/2020,N/A,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",100%,19986,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0930661,"Chapel Haven Schleifer Center, Inc.",09/14/2020,N/A,g12,N/A,*,*,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0931461,Yale Child Study Center School,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9",N/A,N/A,*,15,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0940011,Newington School District,08/31/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,3951,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0950011,New London School District,09/10/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,36%,3264,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
0950161,Connecticut College Child Development Lab School,08/26/2020,PK,N/A,N/A,,63,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0950421,High Road School of New London Middle/High School,09/02/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,*,17,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0960011,New Milford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,3715,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0970011,Newtown School District,09/03/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,4035,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0980011,Norfolk School District,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,10%,79,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1230011,Scotland School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,7%,88,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
0990011,North Branford School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,12%,1638,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1000011,North Canaan School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,23%,249,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1010011,North Haven School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,3114,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1010161,Elizabeth Ives School for Special Children,08/19/2020,N/A,"g2, g5, g8, g11, g12","g3, g4, g6, g9, g10",*,14,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1020011,North Stonington School District,08/31/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,15%,705,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1030011,Norwalk School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,30%,11569,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
1036261,High Road School of Fairfield County,09/08/2020,N/A,"g1, g3, g4, g5, g8, g9, g10, g11, g12","g6, g7",30%,30,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1040011,Norwich School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,50%,3128,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
1040721,Natchaug Hospital School Joshua Center Thames Valley CDT,08/31/2020,"g7, g8, g9, g11, g12",N/A,g10,43%,23,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1060011,Old Saybrook School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,9%,1076,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1060161,Natchaug Hospital School CDT-Shoreline,08/31/2020,"g8, g9, g10, g11, g12",N/A,N/A,*,10,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1070011,Orange School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,10%,1242,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1070161,The Foundation School-Orange,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10",N/A,N/A,19%,32,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1075061,Hope Academy,09/03/2020,N/A,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,25%,67,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1080011,Oxford School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,8%,1628,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1090011,Plainfield School District,09/08/2020,N/A,"PK, K","g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",81%,2007,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1100011,Plainville School District,09/03/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,2256,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1100261,Northwest Village School/Wheeler Clinic,08/31/2020,N/A,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,24%,139,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1105261,Oak Hill School at Middle School of Plainville,07/06/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,11,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1106161,Oak Hill School at Haddam-Killingworth High School,07/06/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,9,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1110011,Plymouth School District,09/03/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,1300,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1120011,Pomfret School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,23%,334,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1130011,Portland School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,1274,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1130121,Oak Hill School at Portland,07/06/2020,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,*,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1140011,Preston School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,10%,433,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1160011,Putnam School District,08/27/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,1092,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
1170011,Redding School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,13%,806,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1180011,Ridgefield School District,08/28/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,12%,4522,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1190011,Rocky Hill School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,38%,2674,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1210011,Salem School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,20%,383,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1220011,Salisbury School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,9%,313,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1240011,Seymour School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,13%,2092,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1250011,Sharon School District,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,14%,111,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1260011,Shelton School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,4402,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1270011,Sherman School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,9%,245,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1280011,Simsbury School District,08/31/2020,"PK, K, g1, g2","g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,3960,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1290011,Somers School District,09/08/2020,N/A,"g6, g7, g8, g9, g10, g11, g12","PK, K, g1, g2, g3, g4, g5",50%,1308,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1290321,The Speech Academy-Somersville,09/02/2020,"g3, g5, g6, g7, g8",N/A,N/A,*,6,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1310011,Southington School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8","g9, g10, g11, g12",N/A,18%,6198,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1320011,South Windsor School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,31%,4579,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1330011,Sprague School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,18%,248,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1340011,Stafford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,22%,1342,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1350011,Stamford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,23%,16757,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
1350161,Villa Maria Education Center,09/03/2020,"g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,*,13,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1351321,IPPI Learning Academy: Stamford,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,*,19,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1356621,The Spire School,09/08/2020,N/A,"g6, g7, g8, g9, g10, g11, g12",N/A,*,41,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1356721,"The Pinnacle School, LLC",09/08/2020,"g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,18%,68,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1360011,Sterling School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,23%,308,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1370011,Stonington School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,1881,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1380011,Stratford School District,09/09/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,24%,6716,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1380121,IPPI Learning Academy: Stratford,09/03/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,66,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1390011,Suffield School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,19%,2058,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1400011,Thomaston School District,09/01/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,18%,822,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1410011,Thompson School District,08/31/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,25%,957,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
1410161,River Run Academy at the Susan Wayne Center of Excellence,08/31/2020,"g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,48,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1410221,Bradley School-Windham County,08/26/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,*,13,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1420011,Tolland School District,09/08/2020,"PK, K","g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,14%,2241,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1430011,Torrington School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,33%,3609,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
1440011,Trumbull School District,09/08/2020,PK,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,6742,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1440161,St. Vincent's Special Needs School Program,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,35%,77,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1450011,Union School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,N/A,24%,46,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1460011,Vernon School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,27%,3032,,Public School Districts,Alliance,"September 21, 2020 - September 25, 2020",10/01/2020
1470011,Voluntown School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8",N/A,23%,246,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1480011,Wallingford School District,09/03/2020,"PK, K, g1, g2, g3, g4, g5","g6, g7, g8, g9, g10, g11, g12",N/A,23%,5412,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1480161,Benhaven School,08/03/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,22%,41,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1480461,Benhaven Academy,09/01/2020,"g6, g7, g8, g9, g11, g12",N/A,"g4, g5, g10",*,29,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1480521,High Road Academy - BEST Academy,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,21%,39,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1485061,High Road School of Wallingford,08/31/2020,N/A,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,26%,72,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1500161,Devereux Glenholme School,09/10/2020,"g6, g7, g8, g9, g10, g11, g12",N/A,N/A,,67,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
2070012,Regional School District 07,08/31/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,10%,985,,Regional School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1510011,Waterbury School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,62%,18378,,Public School Districts,Opportunity,"September 21, 2020 - September 25, 2020",10/01/2020
1520011,Waterford School District,08/31/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,17%,2338,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1520161,Waterford Country School,08/31/2020,"g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,9%,69,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1530011,Watertown School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7","g8, g9, g10, g11, g12",N/A,12%,2697,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1540011,Westbrook School District,09/01/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,14%,644,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1550011,West Hartford School District,09/08/2020,N/A,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,16%,9220,,Public School Districts,,"September 21, 2020 - September 25, 2020",10/01/2020
1550161,Gengras Center,09/08/2020,"K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,23%,135,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
0010011,Andover School District,09/08/2020,"PK, K, g1, g2, g3, g4, g5, g6",N/A,N/A,12%,173,,Public School Districts,,"October 12, 2020 - October 16, 2020",10/22/2020
9020022,The Gilbert School District,09/10/2020,N/A,"g7, g8, g9, g10, g11, g12",N/A,16%,450,,Endowed and Incorporated Academies Districts,,"September 14, 2020 - September 18, 2020",09/24/2020
1550261,Intensive Education Academy,09/08/2020,"g1, g2, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,28%,72,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
1550361,American School for the Deaf,09/02/2020,"PK, K, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12",N/A,N/A,38%,90,,Approved Private Special Education Program,,"September 21, 2020 - September 25, 2020",10/01/2020
